list_id,property_type,listing_type,area_m2,living_area_m2,width_m,length_m,rooms,toilets,floors,legal_document,furnishing,street_name,price_per_m2,area_group,price_group
132321624,5,rent,50.0,,,,2.0,1.0,,6.0,2.0,Thịnh Quang,134000.0,small,under_1b
132338025,3,rent,30.0,,,,,,,,,Lê Trọng Tấn,133333.33333333334,small,under_1b
132366706,4,rent,80.0,,,,,,,1.0,,Phố Đội Cấn,275000.0,medium,under_1b
132069749,1,,99.0,,4.5,,,,,1.0,,thế trạch,30303030.303030305,medium,3_5b
132350328,1,,87.0,,5.4,17.0,,,,1.0,,Võ Văn Kiệt,58620689.655172415,medium,5_10b
131305869,1,sale,62.0,,6.0,10.0,,,,1.0,,Ngõ 8 Phú Diễn,177419354.83870968,medium,over_10b
132366738,3,sale,137.0,,,,,,,1.0,3.0,Hồ Tùng Mậu,47445255.474452555,large,5_10b
132366747,1,sale,33.0,,,,,,,,,Phố Nguyễn Mậu Tài,203030303.03030303,small,5_10b
132362652,3,sale,30.2999,,,,3.0,,,,,Phụng Châu,141914659.78435573,small,3_5b
132323748,1,,83.4,,5.15,16.0,,,,1.0,,Đường Quốc lộ 3,68345323.7410072,medium,5_10b
132364714,3,rent,40.0,40.0,4.0,10.0,5.0,6.0,6.0,1.0,3.0,"NGÕ 235 PHỐ YÊN HÒA ,CẦU GIẤY, HÀ NỘI",387500.0,small,under_1b
132366788,3,rent,110.0,440.0,,,4.0,,4.0,1.0,,Phố Kim Mã,154545.45454545456,large,under_1b
132364741,Phòng trọ,,25.0,,,,,,,,,Phố Nguyễn Khuyến,120000.0,very_small,under_1b
132356547,1,,100.0,,6.0,18.0,,,,1.0,,Đường Quốc lộ 21,24600000.0,large,1_3b
132358603,Phòng trọ,rent,26.0,,,,,,,,2.0,Ngõ 158 Nguyễn Văn Cừ,107692.30769230769,very_small,under_1b
131494358,3,,25.0,,4.5,5.5998,2.0,2.0,1.0,1.0,2.0,Đường Tam Trinh,195600000.0,very_small,3_5b
132364761,Phòng trọ,,20.0,,,,,,,,1.0,Đường Nguyễn Trãi,165000.0,very_small,under_1b
131824090,Phòng trọ,rent,30.0,,,,,,,,3.0,Phố Bạch Mai,133333.33333333334,small,under_1b
131334625,5,sale,90.0,,,,3.0,2.0,,,,Tam Trinh,64277777.777777776,medium,5_10b
132364772,Phòng trọ,,25.0,,,,,,,,,HUD Vân Canh,100000.0,very_small,under_1b
132311525,Phòng trọ,,36.0,,,,,,,,1.0,Đường Trường Chinh,183333.33333333334,small,under_1b
132313575,3,rent,60.0,,,,4.0,,4.0,,,Phố Đào Tấn,300000.0,medium,under_1b
132284908,Phòng trọ,,25.0,,,,,,,,2.0,Ngõ 127 hào nam,140000.0,very_small,under_1b
132366830,Phòng trọ,,25.0,,,,,,,,2.0,Phố Cự Lộc,80000.0,very_small,under_1b
132366831,2,sale,52.0,,,,2.0,1.0,,5.0,1.0,Phố Bùi Xương Trạch,41923076.92307692,small,1_3b
132368882,1,,62.0,,4.0,10.09,,,,1.0,,"tại Lò Nồi - Đông Sơn, Quang Tiến, Sóc Sơn",36000000.0,medium,1_3b
132358647,Phòng trọ,,15.0,,,,,,,,,Ngõ 322 Mỹ Đình,146666.66666666666,very_small,under_1b
132315645,2,rent,80.0,,,,2.0,2.0,,,,Phố Đội Cấn,162500.0,medium,under_1b
132366851,3,rent,50.0,200.0,5.0,,4.0,3.0,4.0,1.0,,Phố Hào Nam,420000.0,small,under_1b
132368900,1,rent,80.0,,,,1.0,1.0,,,2.0,Đường Bắc Cầu,168750.0,medium,under_1b
132364821,3,,50.0,,,,6.0,,5.0,1.0,,Phố Vương Thừa Vũ,245000000.0,small,over_10b
132362779,1,sale,68.0,,,,2.0,,,6.0,2.0,Lê Trọng Tấn,61764705.88235294,medium,3_5b
132340272,1,rent,60.0,,,,2.0,1.0,,6.0,,Yên Hòa,158333.33333333334,medium,under_1b
129272380,1,rent,30.0,,,,1.0,1.0,,6.0,2.0,1 Nghĩa Tân,116666.66666666667,small,under_1b
132358718,3,rent,55.0,,,,3.0,,,1.0,,Bát Khối,181818.18181818182,small,under_1b
132336194,3,,35.0,35.0,,,4.0,4.0,5.0,1.0,2.0,Phố Quan Nhân,214285714.2857143,small,5_10b
131514952,3,rent,20.0,,,,,,,,,Phố Láng Hạ,125000.0,very_small,under_1b
132338253,1,sale,60.0,60.0,6.0,10.0,3.0,3.0,3.0,1.0,2.0,Phố Hàng Vải,850000000.0,medium,over_10b
130853455,Phòng trọ,,14.0,,,,,,,,3.0,Đường Tả Thanh Oai,42857.142857142855,very_small,under_1b
131709520,1,sale,78.4,,4.5,17.6599,,,,1.0,,cây sữa kim bài,113520408.1632653,medium,5_10b
132364883,1,sale,98.0,320.0,9.0,10.2798,4.0,5.0,4.0,1.0,3.0,Đường Cự Khối,144897959.18367347,medium,over_10b
132358746,Phòng trọ,rent,25.0,,,,,,,,,Láng Hạ,208000.0,very_small,under_1b
132325981,1,,62.0,,,,2.0,,,6.0,,Quang Trung,93548387.09677419,medium,5_10b
132364899,3,rent,150.0,,,,,,,,,Thụy Khuê,266666.6666666667,large,under_1b
131693160,1,,80.0,,45.0,,5.0,5.0,8.0,1.0,1.0,Đường Bát Khối,325000000.0,medium,over_10b
132334209,3,sale,31.0,,,,2.0,1.0,,2.0,,Ngõ 34 Thanh Đàm,69354838.70967741,small,1_3b
132358797,1,sale,126.0,,7.0,17.0,,,,1.0,,Bắc Thăng Long Nội Bài,157142857.14285713,large,over_10b
132344467,3,sale,118.0,350.0,12.0,9.6998,4.0,,5.0,1.0,1.0,Phố Ngọc Hà,194915254.23728815,large,over_10b
132356757,3,rent,60.0,,,,4.0,3.0,,,,Phố Thành Công,283333.3333333333,medium,under_1b
132356759,4,rent,65.0,250.0,4.5,12.0,1.0,,5.0,2.0,3.0,Trường Sa,153846.15384615384,medium,under_1b
132358812,Phòng trọ,rent,15.0,,,,,,,,2.0,Ngõ 23 Lý Sơn,120000.0,very_small,under_1b
132321949,3,rent,60.0,240.0,8.0,7.0,4.0,4.0,4.0,,,Vương Thừa Vu,316666.6666666667,medium,under_1b
132358815,5,,70.0,,,,2.0,1.0,,6.0,2.0,Phố Lê Quý Đôn,50714285.71428572,medium,3_5b
132190882,3,sale,39.0,180.0,,,4.0,5.0,5.0,1.0,2.0,Phố Khương Hạ,217948717.94871795,small,5_10b
132336291,1,,76.0,,,,3.0,2.0,,6.0,2.0,Đường Đại lộ Thăng Long,84868421.05263157,medium,5_10b
132360885,1,,68.0,,,,3.0,2.0,,6.0,2.0,Đường Lê Văn Lương,93382352.94117647,medium,5_10b
